"","CASHPOINTID","OPERATIONDATE","AMT_SCALED"
"1",0,2020-01-01,0.176634848117828
"2",0,2020-01-02,0.113692052662373
"3",0,2020-01-03,0.138361170887947
"4",0,2020-01-04,0.0914810672402382
"5",0,2020-01-05,0.053468681871891
"6",0,2020-01-06,0.0853097438812256
"7",0,2020-01-07,0.0770401358604431
"8",0,2020-01-08,0.0722543597221375
"9",0,2020-01-09,0.0516397058963776
"10",0,2020-01-10,0.0730304569005966
"11",0,2020-01-11,0.0557132251560688
"12",0,2020-01-12,0.0369838625192642
"13",0,2020-01-13,0.0757957100868225
"14",0,2020-01-14,0.0649420768022537
"15",0,2020-01-15,0.0822899267077446
"16",0,2020-01-16,0.081818699836731
"17",0,2020-01-17,0.0969686508178711
"18",0,2020-01-18,0.0644570738077164
"19",0,2020-01-19,0.0455844886600971
"20",0,2020-01-20,0.0952494218945503
"21",0,2020-01-21,0.140461593866348
"22",0,2020-01-22,0.138155370950699
"23",0,2020-01-23,0.147451594471931
"24",0,2020-01-24,0.181434035301208
"25",0,2020-01-25,0.132891476154327
"26",0,2020-01-26,0.0920745059847832
"27",0,2020-01-27,0.178860291838646
"28",0,2020-01-28,0.230708569288254
"29",0,2020-01-29,0.197239279747009
"30",0,2020-01-30,0.169475495815277
"31",0,2020-01-31,0.20055179297924
"32",1,2020-01-01,0.181919410824776
"33",1,2020-01-02,0.118758417665958
"34",1,2020-01-03,0.143598616123199
"35",1,2020-01-04,0.0933575257658958
"36",1,2020-01-05,0.0545131452381611
"37",1,2020-01-06,0.0858652889728546
"38",1,2020-01-07,0.0774708539247513
"39",1,2020-01-08,0.0725845173001289
"40",1,2020-01-09,0.0519274771213531
"41",1,2020-01-10,0.0732618346810341
"42",1,2020-01-11,0.055830292403698
"43",1,2020-01-12,0.0370782092213631
"44",1,2020-01-13,0.0758911669254303
"45",1,2020-01-14,0.0650232508778572
"46",1,2020-01-15,0.0823400542140007
"47",1,2020-01-16,0.0818558111786842
"48",1,2020-01-17,0.0969889312982559
"49",1,2020-01-18,0.0644707381725311
"50",1,2020-01-19,0.0455964244902134
"51",1,2020-01-20,0.0952583774924278
"52",1,2020-01-21,0.140475079417229
"53",1,2020-01-22,0.138167500495911
"54",1,2020-01-23,0.147466748952866
"55",1,2020-01-24,0.181438803672791
"56",1,2020-01-25,0.132897898554802
"57",1,2020-01-26,0.0920764431357384
"58",1,2020-01-27,0.178861618041992
"59",1,2020-01-28,0.230709612369537
"60",1,2020-01-29,0.197239369153976
"61",1,2020-01-30,0.169475585222244
"62",1,2020-01-31,0.200551882386208
"63",2,2020-01-01,0.0410171113908291
"64",2,2020-01-02,0.0252984762191772
"65",2,2020-01-03,0.0559073984622955
"66",2,2020-01-04,0.0441191680729389
"67",2,2020-01-05,0.0154500678181648
"68",2,2020-01-06,0.037789523601532
"69",2,2020-01-07,0.0321504548192024
"70",2,2020-01-08,0.0354253351688385
"71",2,2020-01-09,0.0165261849761009
"72",2,2020-01-10,0.0430086925625801
"73",2,2020-01-11,0.0411116778850555
"74",2,2020-01-12,0.0247056111693382
"75",2,2020-01-13,0.0639476031064987
"76",2,2020-01-14,0.0545872189104557
"77",2,2020-01-15,0.0758128687739372
"78",2,2020-01-16,0.0770135074853897
"79",2,2020-01-17,0.0943412780761719
"80",2,2020-01-18,0.0626860037446022
"81",2,2020-01-19,0.0440339036285877
"82",2,2020-01-20,0.0940860956907272
"83",2,2020-01-21,0.138719141483307
"84",2,2020-01-22,0.136577621102333
"85",2,2020-01-23,0.145460560917854
"86",2,2020-01-24,0.180801525712013
"87",2,2020-01-25,0.13203926384449
"88",2,2020-01-26,0.091816782951355
"89",2,2020-01-27,0.17868360877037
"90",2,2020-01-28,0.230565190315247
"91",2,2020-01-29,0.197227627038956
"92",2,2020-01-30,0.169471561908722
"93",2,2020-01-31,0.200547873973846
"94",3,2020-01-01,0.0742919445037842
"95",3,2020-01-02,0.0523617118597031
"96",3,2020-01-03,0.0738051533699036
"97",3,2020-01-04,0.0555137395858765
"98",3,2020-01-05,0.0252583473920822
"99",3,2020-01-06,0.0505128689110279
"100",3,2020-01-07,0.0455977208912373
"101",3,2020-01-08,0.0470096990466118
"102",3,2020-01-09,0.0281341373920441
"103",3,2020-01-10,0.0534036159515381
"104",3,2020-01-11,0.0460370965301991
"105",3,2020-01-12,0.0290834158658981
"106",3,2020-01-13,0.0681572705507278
"107",3,2020-01-14,0.0583272986114025
"108",3,2020-01-15,0.0781657248735428
"109",3,2020-01-16,0.0787612572312355
"110",3,2020-01-17,0.0952970311045647
"111",3,2020-01-18,0.0633303672075272
"112",3,2020-01-19,0.0445989668369293
"113",3,2020-01-20,0.0945100262761116
"114",3,2020-01-21,0.13935175538063
"115",3,2020-01-22,0.137152969837189
"116",3,2020-01-23,0.146191462874413
"117",3,2020-01-24,0.181034833192825
"118",3,2020-01-25,0.132354527711868
"119",3,2020-01-26,0.0919122844934464
"120",3,2020-01-27,0.178749144077301
"121",3,2020-01-28,0.230618387460709
"122",3,2020-01-29,0.197231948375702
"123",3,2020-01-30,0.169473096728325
